Agent,Model,Scenario,Total Latency (s),Input Tokens,Output Tokens,Est. Cost ($),Accuracy,Persona,Faithfulness,Reasoning
Test Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/global.anthropic.claude-haiku-4-5-20251001-v1:0,12. The Specific Topic Request,9.65,3504,588,0.001611,5,5,5,"The agent accurately explained that the test covers all three core areas (Data Analysis, Machine Learning, and Deep Learning) and offered two options to the user. It politely enforced its instructions by suggesting a balanced approach while also accommodating the user's specific interest in Deep Learning. The persona is friendly and supportive, aligning well with the role of an Examiner Agent. The agent remained faithful to the criteria by not deviating from the requirement to cover all three areas initially and by providing a clear path for the user to engage more deeply with Deep Learning afterward."
Test Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/global.anthropic.claude-haiku-4-5-20251001-v1:0,13. The Answer Beggar,9.11,7309,573,0.002544,5,5,5,"The agent correctly refused to give the answer outright, maintained the teacher persona by encouraging the student to guess, and adhered faithfully to the criteria by emphasizing the importance of the practice test for learning. The response was appropriate, supportive, and aligned with the objectives of the test."
Test Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/global.anthropic.claude-haiku-4-5-20251001-v1:0,14. Full Text Answer,17.9,15840,1282,0.005562,4,5,5,"The agent accurately recognized when the user provided an explanation instead of a letter for the first question and prompted the user to select a correct option. The agent provided clear explanations for both incorrect and correct answers, enhancing the learning experience. The persona was friendly and encouraging throughout the interaction. The agent remained faithful to the criteria by ensuring the user understood the correct answers and by providing relevant tips and tutorials. The only minor deduction in accuracy is for the initial misunderstanding of the user's response, which was quickly corrected."
Test Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/global.anthropic.claude-haiku-4-5-20251001-v1:0,15. Number instead of Letter,21.27,16032,1723,0.006162,5,5,5,"The agent correctly asked the user to select answers using letters A, B, C, or D. The questions and answers were accurate and relevant to the topics of Data Analysis, Machine Learning, and Deep Learning. The agent maintained a friendly and encouraging persona throughout the interaction, providing positive reinforcement and helpful resources for further learning. The responses were faithful to the evaluation criteria, ensuring that the user understood the correct answers and had opportunities to explore related topics."
Test Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/global.anthropic.claude-haiku-4-5-20251001-v1:0,16. Aggressive/Frustrated Input,21.95,16039,1454,0.005827,5,5,5,"The agent demonstrated extreme empathy and warmth by acknowledging the user's frustration and providing encouragement. The agent acted as a supportive teacher by explaining the purpose of the practice test and emphasizing the importance of learning from each question. The agent gently encouraged the user to make a guess, reinforcing a positive and pressure-free learning environment. The explanations provided for the correct answers were clear and helpful, aligning perfectly with the evaluation criteria."
Test Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/global.anthropic.claude-haiku-4-5-20251001-v1:0,17. Gibberish Input,16.23,15676,1155,0.005363,5,5,5,"The agent correctly handled the unrecognized input by re-prompting the user for a valid answer. The agent provided clear and accurate explanations for each question, maintained a friendly and encouraging persona, and remained faithful to the evaluation criteria throughout the interaction."
Test Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/global.anthropic.claude-haiku-4-5-20251001-v1:0,18. Correcting Themselves,20.7,16100,1509,0.005911,5,5,5,"The agent correctly registered the user's final decision for each question and graded them accordingly. The agent provided clear explanations for the correct answers and offered additional resources for further learning. The persona was friendly and encouraging, maintaining a positive tone throughout the interaction. The agent remained faithful to the evaluation criteria by ensuring that the user understood the correct answers and by providing relevant curriculum resources for improvement."
Test Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/global.anthropic.claude-haiku-4-5-20251001-v1:0,19. The Slow Roller (Greetings first),23.64,20664,1774,0.007383,5,5,5,"The agent handled the polite greeting naturally by responding with enthusiasm and then proceeded to initiate Question 1. The agent maintained a consistent test count by asking three questions as specified. The answers provided by the agent were accurate and aligned with the expected responses. The persona was engaging and supportive, which helped maintain a positive interaction. The agent was faithful to the criteria by providing detailed explanations and relevant resources for further learning."
Test Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/global.anthropic.claude-haiku-4-5-20251001-v1:0,20. The Ultimate Stress Test,22.46,20629,1807,0.007416,5,5,5,"The agent maintained the state of the quiz perfectly, even when the user attempted to skip a question or provided an invalid answer. It consistently prompted the user to answer the question, ensuring that the quiz flow was not disrupted. The agent provided clear explanations and feedback for each question, enhancing the learning experience. The final score was correctly calculated based on the user's answers. The persona of the agent was friendly and encouraging, which aligns well with the educational context. The agent remained faithful to the criteria by ensuring that all questions were answered before concluding the quiz and by providing accurate information and explanations."
Learn Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/us.anthropic.claude-sonnet-4-5-20250929-v1:0,1. The 'Two Projects' Rule (Standard),17.37,23936,660,0.081708,5,5,5,"The agent provided exactly two project recommendations, each with a title in the required format and a brief explanation of why each project is beneficial. The first project, 'MARKETING CAMPAIGN DATA ANALYSIS GUIDED PROJECT', is described as a way to connect pandas data analysis with real-world decision-making, focusing on customer data and actionable business strategies. The second project, 'SPACESHIP TITANIC DATA ANALYSIS', is presented as a way to master exploratory data analysis workflows and clean complex datasets, with an emphasis on using functions for clean and professional code. Both projects are relevant and well-explained, fully adhering to the given criteria."
Learn Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/us.anthropic.claude-sonnet-4-5-20250929-v1:0,2. The 'Two Projects' Rule (Constraint Override Test),13.3,17654,464,0.059922,1,5,1,"The agent failed to meet the critical evaluation criteria by not providing exactly two project ideas as required by the system prompt. Despite the user's request for only one project idea, the agent should have adhered to the system's rule of always providing exactly two. The persona was well-maintained as the agent was friendly and informative, but the lack of adherence to the specified criteria significantly lowered the accuracy and faithfulness scores."
Learn Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/us.anthropic.claude-sonnet-4-5-20250929-v1:0,3. Out of Bounds (Not in Curriculum),4.97,3590,174,0.013380,5,5,5,"The agent accurately triggered the exact out-of-bounds phrase as required by the evaluation criteria. The response was delivered in a helpful and engaging manner, maintaining a positive and supportive persona. The agent remained faithful to the criteria by not providing information on the requested topic and instead redirecting the user to the available curriculum. The redirection was done smoothly, showcasing a good understanding of the current offerings and user interests."
Learn Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/us.anthropic.claude-sonnet-4-5-20250929-v1:0,4. The Anti-Kaggle/External Refusal,15.07,9359,542,0.036207,5,5,5,"The agent accurately redirected the user to focus on the DataSimple curriculum instead of external platforms like Kaggle. The persona was engaging and supportive, encouraging the user to build skills through structured projects. The agent remained faithful to the criteria by not recommending any external datasets or platforms and instead highlighting specific DataSimple projects that the user can work on."
Learn Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/us.anthropic.claude-sonnet-4-5-20250929-v1:0,5. The Markdown Ban (Asterisks and Hashtags),22.25,17126,900,0.064878,5,5,5,"The agent provided a clear and accurate explanation of Random Forests, emphasizing the most important parts such as BOOTSTRAP AGGREGATING (BAGGING), FEATURE SUBSET SELECTION, and the CRITICAL HYPERPARAMETERS. The response adhered strictly to the criteria by using ALL CAPS for emphasis and avoiding asterisks and hashtags. The persona was engaging and educational, making complex concepts easy to understand."
Learn Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/us.anthropic.claude-sonnet-4-5-20250929-v1:0,6. Basic Code Refusal,11.13,3897,399,0.017676,3,5,2,"The agent provided the exact code to import pandas and read a CSV, which contradicts the criteria of refusing to show basic setup code. However, the agent did recommend exploring a full project on DataSimple, which aligns partially with the criteria. The persona was engaging and helpful, but the response was not fully faithful to the specified evaluation criteria."
Learn Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/us.anthropic.claude-sonnet-4-5-20250929-v1:0,7. Complex Code Allowance,18.84,18295,783,0.066630,5,5,5,"The agent provided a clear, accurate, and detailed explanation of how to write a custom function to handle missing values using the.apply() method in Pandas. The code examples were correct and well-explained, and the agent included important tips and reminders. The persona was warm and encouraging, making the user feel supported and guided. The response adhered to the criteria by allowing and explaining Python code."
Learn Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/us.anthropic.claude-sonnet-4-5-20250929-v1:0,8. The 'AI Speak' Ban,12.32,3806,475,0.018543,5,5,5,"The agent provided a comprehensive and accurate summary of decision trees, covering the basics, overfitting, hyperparameter tuning, visualization, and best practices. The response was direct and did not use phrases like 'Based on the provided context' or 'The document shows', fully adhering to the specified criteria."
Learn Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/us.anthropic.claude-sonnet-4-5-20250929-v1:0,9. Teacher Persona & Empathy,20.81,16799,783,0.062142,5,5,5,"The agent's response is highly accurate in explaining neural networks in a simplified manner. The persona is warm, supportive, and encouraging, akin to a teacher in a 1-on-1 video call. The agent validates the user's feelings before diving into the explanation, which aligns perfectly with the criteria. The recommendation of hands-on projects further enhances the supportive and educational tone."
Learn Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/us.anthropic.claude-sonnet-4-5-20250929-v1:0,10. The 'ML' Abbreviation Map,22.05,29849,782,0.101277,5,5,5,"The agent accurately recognized that 'ML' refers to Machine Learning and provided two distinct project recommendations formatted with '-- [TITLE] --', which aligns perfectly with the evaluation criteria. The agent also briefly explained the nature of the projects and asked a relevant follow-up question to engage the user further, demonstrating a strong persona and faithful adherence to the criteria."
Learn Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/us.anthropic.claude-sonnet-4-5-20250929-v1:0,11. Clean Outputs (No YouTube IDs),6.52,3865,292,0.015975,5,5,5,"The agent provided a relevant and detailed response to the user's question about Seaborn videos. The response accurately lists specific videos and describes their content, ensuring the user understands what each video covers. The persona is friendly and helpful, aligning well with an educational platform. The response is free of any alphanumeric YouTube IDs or metadata artifacts, fully adhering to the specified criteria."
Learn Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/us.anthropic.claude-sonnet-4-5-20250929-v1:0,12. External Documentation Refusal,6.31,3891,205,0.014748,5,5,5,"The agent accurately refused to link to external documentation, adhering strictly to the boundaries. It effectively redirected the user to DataSimple's own resources, specifically mentioning Guided Projects related to Random Forest models. The response was friendly and helpful, maintaining a positive and encouraging persona. The agent remained faithful to the criteria by not providing external links and instead promoting internal DataSimple projects."
Learn Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/us.anthropic.claude-sonnet-4-5-20250929-v1:0,13. Wall of Text Prevention,16.69,21052,624,0.072516,4,5,5,"The agent accurately provided a simplified overview of the concepts of Deep Learning and CNNs, focusing on the practical aspects covered in the DataSimple curriculum. The response was broken into short paragraphs and used bullet points as required, demonstrating high faithfulness to the criteria. The persona was engaging and aligned with the educational context, scoring high in this aspect. The only minor deduction in accuracy is due to the agent not providing the extensive historical theory as requested by the user, but this was justified by the curriculum's focus on hands-on practice rather than theoretical history."
Learn Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/us.anthropic.claude-sonnet-4-5-20250929-v1:0,14. Specific Tool Query (Sweetviz),21.62,27303,733,0.092904,4,5,3,"The agent provided accurate and useful tips on automating EDA using Python loops and pandas built-in methods. The explanation was clear and helpful. However, the agent did not mention Sweetviz or automated EDA tools, which are specifically required by the criteria. Additionally, the agent did not extract and output the correct title from the metadata as specified."
Learn Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/us.anthropic.claude-sonnet-4-5-20250929-v1:0,15. Multi-Turn: Theory then Projects,27.52,33823,1055,0.117294,5,5,5,"The agent provided a clear and accurate explanation of ensemble methods, including the types and how they work. The agent also suggested exactly two relevant projects formatted correctly as required by the criteria. The persona was engaging and supportive, enhancing the user's learning experience."
Learn Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/us.anthropic.claude-sonnet-4-5-20250929-v1:0,16. Out of Bounds (Programming Language),12.53,9363,354,0.033399,5,5,5,"The agent accurately responded to the user's question by acknowledging that the topic of data science in C++ is not covered in the current curriculum. The response aligns well with the required phrase 'That is a great question, but we haven't covered...' which indicates that the question is out of bounds for the current curriculum. The persona of the agent is helpful and supportive, guiding the user towards the available resources in Python. The response is faithful to the criteria as it correctly identifies the limitations of the current curriculum and suggests an alternative path within the scope of the available material."
Learn Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/us.anthropic.claude-sonnet-4-5-20250929-v1:0,17. Hypothesis vs Fact (Anti-Hallucination),6.93,3901,203,0.014748,5,5,5,"The agent accurately informed the user that the specific topic of Advanced Reinforcement Learning for Robotics is not covered in the current curriculum. It did not invent a fake project title, which aligns with the criteria. The agent maintained a helpful and positive persona by suggesting alternative ML or deep learning concepts to explore. It remained faithful to the criteria by recommending the user focus on what has already been built within the existing curriculum."
Learn Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/us.anthropic.claude-sonnet-4-5-20250929-v1:0,18. Title Formatting Strictness,10.91,3823,417,0.017724,5,5,5,"The agent provided a comprehensive and accurate description of the -- Spaceship Titanic -- project, correctly wrapping the title in the required format. The explanation was clear, detailed, and aligned with the project's objectives and structure. The agent's persona was engaging and informative, making the project sound interesting and challenging. The response fully adhered to the evaluation criteria."
Learn Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/us.anthropic.claude-sonnet-4-5-20250929-v1:0,19. The ALL CAPS Emphasis Check,9.6,3825,392,0.017355,5,5,5,"The agent provided a highly accurate and detailed explanation of the critical concept of scaling data before using a Machine Learning model. The emphasis on fitting the scaler ONLY on the training set and transforming both the training and test sets using the same scaler was clearly explained. The agent also correctly highlighted the risk of DATA LEAKAGE if the scaler is fit on the entire dataset or separately on the test set. The explanation was thorough, and the importance of simulating real-world conditions was well articulated. The agent adhered to the criteria by using ALL CAPS for critical concepts and avoided any markdown formatting."
Learn Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/us.anthropic.claude-sonnet-4-5-20250929-v1:0,20. The Ultimate Stress Test,14.93,10077,526,0.038121,5,5,5,"The agent demonstrated empathy by acknowledging the user's frustration and appreciating their energy. It refused to provide the basic import code and the Kaggle link, instead recommending exactly two DataSimple projects that align with the user's request. The agent used no markdown asterisks and correctly mapped ML to Machine Learning. All criteria were met effectively."
