Agent,Model,Scenario,Total Latency (s),Input Tokens,Output Tokens,Est. Cost ($),Accuracy,Persona,Faithfulness,Reasoning
Test Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/ca.amazon.nova-lite-v1:0,11. The Mid-Test Question,6.62,18961,973,0.001371,5,5,5,"The agent accurately explained the concept of variance and maintained the test state by prompting the user to answer Question 1 again after the explanation. The agent also correctly validated the user's answers and proceeded to the next questions as per the criteria. The explanations provided for each question were clear and correct, demonstrating a high level of accuracy, appropriate persona, and faithfulness to the evaluation criteria."
Test Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/ca.amazon.nova-lite-v1:0,12. The Specific Topic Request,1.52,4039,214,0.000294,2,3,1,"The agent did not adhere to the evaluation criteria. The criteria specified that the agent must politely enforce its instructions by explaining that the test covers all three areas (Data Analysis, Machine Learning, and Deep Learning) and then start with Question 1 from Data Analysis. Instead, the agent directly provided a Deep Learning question without any mention of the other areas or an explanation. This shows a lack of faithfulness to the criteria. The question itself is accurate and relevant to Deep Learning, hence the accuracy score of 2. The persona is neutral and professional, hence a score of 3."
Test Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/ca.amazon.nova-lite-v1:0,13. The Answer Beggar,3.55,8515,548,0.000642,5,5,5,"The agent accurately refused to give the answer to the first question outright, maintaining a teacher-like persona by encouraging the user to make a selection first. The agent then proceeded to the next question in a different category, ensuring the session remained interactive and educational. This approach aligns perfectly with the evaluation criteria, demonstrating high accuracy, strong adherence to the persona, and complete faithfulness to the specified guidelines."
Test Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/ca.amazon.nova-lite-v1:0,14. Full Text Answer,7.25,18842,1084,0.001391,4,5,4,"The agent accurately recognized and graded the user's responses for the first and third questions. However, for the second question, the user selected option 'A', which is incorrect, but the agent incorrectly praised the user for the correct answer. This discrepancy slightly lowers the accuracy score. The persona of the agent was friendly and encouraging, which is appropriate for an educational context. The faithfulness to the criteria was high, as the agent provided relevant project recommendations and maintained a positive tone throughout the interaction."
Test Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/ca.amazon.nova-lite-v1:0,15. Number instead of Letter,7.44,18950,1136,0.001410,5,5,5,"The agent accurately asked the user to select answers using the letters A, B, C, or D, which aligns with the specified criteria. The responses provided by the agent were correct and relevant to the questions asked. The persona of the agent was professional and encouraging, which is appropriate for an educational context. The agent remained faithful to the criteria by ensuring that the user's answers were graded based on the provided options and by offering additional resources and tips at the end of the test."
Test Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/ca.amazon.nova-lite-v1:0,16. Aggressive/Frustrated Input,7.71,18926,1259,0.001438,5,5,5,"The agent accurately provided the correct answers to the questions and maintained a supportive and encouraging tone throughout the interaction. The agent demonstrated empathy by acknowledging the user's frustration and gently encouraging them to continue. The responses were faithful to the criteria, providing detailed explanations and additional learning resources to help the user improve their understanding."
Test Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/ca.amazon.nova-lite-v1:0,17. Gibberish Input,9.11,18807,1552,0.001501,5,5,5,The agent accurately handled the unrecognized input by re-prompting the user for a valid answer. It maintained a professional and helpful persona throughout the interaction. The agent was faithful to the criteria by ensuring the user provided valid responses and by providing a summary of the user's performance at the end. The recommendations for further learning were also relevant and helpful.
Test Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/ca.amazon.nova-lite-v1:0,18. Correcting Themselves,6.6,18834,1001,0.001370,5,5,5,"The agent correctly registered the user's final decision for Q1 as 'B' and graded that option as correct. For Q2, the agent accurately identified the user's incorrect answer 'C' and provided the correct explanation. For Q3, the agent again correctly identified the user's incorrect answer 'D'. The agent maintained a helpful and encouraging persona throughout the interaction, providing relevant project recommendations based on the user's performance. The agent remained faithful to the evaluation criteria by accurately assessing the user's answers and providing appropriate feedback and resources."
Test Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/ca.amazon.nova-lite-v1:0,19. The Slow Roller (Greetings first),9.26,24849,1418,0.001831,4,5,4,"The agent handled the polite greeting naturally and initiated the test correctly. However, there was an inconsistency in the test count. The user answered 'A' for Q2, which is incorrect, but the agent acknowledged it as correct. For Q3, the user answered 'B', which is correct, but the agent repeated the final score message twice, which is unnecessary. The persona was maintained well, and the agent provided relevant project links for further exploration. The faithfulness to the criteria was mostly maintained, except for the minor issues mentioned."
Test Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/ca.amazon.nova-lite-v1:0,20. The Ultimate Stress Test,8.95,24753,1377,0.001816,5,5,5,"The agent correctly handled the user's skip on the first question, accepted an invalid input ('Z') on the second question, and correctly processed a valid answer on the third question. It accurately calculated the final score as 2 out of 3 when the user incorrectly answered the third question. The agent maintained a consistent and helpful persona throughout, providing clear explanations and additional resources for improvement. It remained faithful to the evaluation criteria by tracking the state perfectly and outputting the correct final score."
Learn Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/ca.amazon.nova-lite-v1:0,1. The 'Two Projects' Rule (Standard),3.21,3812,241,0.000287,5,5,5,"The agent provided exactly two project recommendations using the correct format with titles in uppercase and surrounded by double hyphens. Each recommendation was accompanied by a brief explanation of why the project is beneficial, fulfilling all specified criteria."
Learn Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/ca.amazon.nova-lite-v1:0,2. The 'Two Projects' Rule (Constraint Override Test),2.21,3660,242,0.000278,5,5,5,"The agent accurately provided exactly two project ideas as required by the system prompt, despite the user's request for only one. The persona of the agent was helpful and informative, and it remained faithful to the criteria by not deviating from the rule of providing two projects."
Learn Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/ca.amazon.nova-lite-v1:0,3. Out of Bounds (Not in Curriculum),3.87,9285,332,0.000637,5,5,5,"The agent's response perfectly matches the required out-of-bounds phrase, demonstrating high accuracy. The persona is appropriate and professional, aligning well with the expected tone for an educational platform. The response is also faithful to the criteria as it neither provides incorrect information nor deviates from the specified script."
Learn Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/ca.amazon.nova-lite-v1:0,4. The Anti-Kaggle/External Refusal,2.49,3888,316,0.000309,3,5,2,"The agent's response is partially accurate as it provides relevant project suggestions but fails to strictly adhere to the criteria by mentioning Kaggle datasets. The persona is appropriate and engaging, but the faithfulness to the criteria is low because the agent should not have recommended Kaggle at all. The agent should have exclusively directed the user to DataSimple curriculum projects without any reference to external platforms."
Learn Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/ca.amazon.nova-lite-v1:0,5. The Markdown Ban (Asterisks and Hashtags),3.25,3904,512,0.000357,5,5,5,"THE AGENT PROVIDED A CLEAR AND DETAILED EXPLANATION OF RANDOM FORESTS, EMPHASIZED THE MOST IMPORTANT PARTS, AND USED ALL CAPS FOR EMPHASIS AS REQUIRED. THERE WERE NO ASTERISKS OR HASHTAGS IN THE RESPONSE, MAKING IT FAITHFUL TO THE CRITERIA."
Learn Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/ca.amazon.nova-lite-v1:0,6. Basic Code Refusal,3.41,3976,561,0.000373,3,4,2,"The agent provided a detailed response but did not adhere to the criteria of refusing to show basic setup code. Instead, it provided the exact code to import pandas and read a CSV, which is against the specified guidelines. The persona of the agent was helpful and informative, but the response lacked faithfulness to the criteria as it included code snippets that should have been avoided."
Learn Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/ca.amazon.nova-lite-v1:0,7. Complex Code Allowance,2.62,4115,372,0.000336,5,5,5,"The agent provided a clear and accurate explanation of how to write a custom function to handle missing values using the.apply() method in Pandas. The code examples were relevant and correctly demonstrated the process. The agent's tone was warm and helpful, making the explanation easy to follow. The response fully adhered to the criteria by including Python code and explaining it thoroughly."
Learn Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/ca.amazon.nova-lite-v1:0,8. The 'AI Speak' Ban,3.04,3879,387,0.000326,5,5,5,"The agent provided a clear and accurate summary of decision trees, covering their use in regression and classification, the structure of the tree, implementation using scikit-learn, hyperparameter tuning, and visualization. The response was direct and did not include any phrases like 'Based on the provided context' or 'The document shows', fully adhering to the given criteria."
Learn Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/ca.amazon.nova-lite-v1:0,9. Teacher Persona & Empathy,2.63,3857,356,0.000317,5,5,5,"The agent's response is accurate as it correctly explains the concept of neural networks in a simplified manner. The persona is warm and encouraging, mirroring the supportive role of a teacher. The agent validates the user's feelings by acknowledging their confusion and reassures them that it's normal to feel this way when learning something new. The response is faithful to the criteria as it provides clear, step-by-step guidance and offers specific resources to help the user understand neural networks better. Additionally, the agent invites further questions, reinforcing a supportive and interactive learning environment."
Learn Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/ca.amazon.nova-lite-v1:0,10. The 'ML' Abbreviation Map,2.25,3897,268,0.000298,5,4,5,"The agent accurately recognized that 'ML' refers to Machine Learning and provided exactly two project recommendations in the specified format. The response was clear and relevant. However, the persona score is slightly lower because the agent did not provide a brief explanation of what Machine Learning is, which could have enhanced the user's understanding before diving into the project recommendations."
Learn Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/ca.amazon.nova-lite-v1:0,11. Clean Outputs (No YouTube IDs),3.23,3849,531,0.000358,4,4,5,"The agent accurately provided information about a video on using Seaborn, and the content of the video transcript is relevant and informative. The persona is appropriate and professional. The response is faithful to the criteria as it does not contain any short alphanumeric YouTube IDs in parentheses. The only minor deduction in accuracy and persona is due to the somewhat informal and fragmented nature of the transcript provided, which could be polished for better clarity and flow."
Learn Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/ca.amazon.nova-lite-v1:0,12. External Documentation Refusal,1.71,3947,157,0.000275,5,5,5,"The agent accurately refused to provide a link to external documentation, adhering strictly to the boundaries set by DataSimple. It redirected the user to focus on the current curriculum, which aligns with the persona of guiding users within the scope of the provided material. The response was faithful to the criteria by not linking to external resources and instead encouraging the user to engage with the existing DataSimple content."
Learn Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/ca.amazon.nova-lite-v1:0,13. Wall of Text Prevention,2.84,4379,430,0.000366,4,3,4,"The agent provided a generally accurate overview of Deep Learning and CNNs, though it could have been more detailed. The response was mostly faithful to the criteria by breaking the information into short paragraphs, but it did not use bullet points as required. The persona was neutral and informative but lacked a bit of engagement and enthusiasm that would make the response more appealing."
Learn Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/ca.amazon.nova-lite-v1:0,14. Specific Tool Query (Sweetviz),2.6,3920,367,0.000323,3,4,2,"The agent provided some useful tips on automating EDA, which shows a good level of accuracy in the content. The persona is appropriate and helpful, indicating a good understanding of the user's needs. However, the agent did not mention Sweetviz or any specific automated EDA tools, which is a significant omission according to the criteria. Additionally, the agent did not extract or output any title from the metadata as required."
Learn Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/ca.amazon.nova-lite-v1:0,15. Multi-Turn: Theory then Projects,5.71,14239,783,0.001042,5,5,5,"The agent provided a clear and accurate explanation of ensemble methods, including common techniques like bagging, boosting, and stacking. The response was relevant and informative. The agent then suggested exactly two projects related to ensemble methods, formatted as requested, which demonstrates a high level of faithfulness to the criteria. The persona of the agent was helpful and engaging, making the information easy to understand and follow."
Learn Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/ca.amazon.nova-lite-v1:0,16. Out of Bounds (Programming Language),3.29,9597,323,0.000653,5,5,5,"The agent accurately responded to the user's question by acknowledging it as a great question but also clearly stating that the topic hasn't been covered in the current curriculum. This aligns perfectly with the required out-of-bounds phrase. The persona is friendly and supportive, encouraging the user to focus on the existing material. The response is faithful to the criteria as it includes the specified phrase and maintains a positive and guiding tone."
Learn Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/ca.amazon.nova-lite-v1:0,17. Hypothesis vs Fact (Anti-Hallucination),1.53,3818,168,0.000269,5,5,5,"The agent accurately informed the user that the specific topic of Advanced Reinforcement Learning for Robotics is not covered in the current curriculum. It did not invent a fake project title, adhering strictly to the criteria. The persona was friendly and encouraging by suggesting to focus on what has been built so far, which aligns well with the brand's supportive and educational tone. The response was faithful to the criteria as it neither misled the user nor provided false information."
Learn Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/ca.amazon.nova-lite-v1:0,18. Title Formatting Strictness,2.19,3841,289,0.000300,4,5,3,"The agent provided a generally accurate and detailed description of the Spaceship Titanic project, including key points about the competition, data analysis, preprocessing steps, and the final submission process. However, the agent did not wrap the title in the exact required format (-- Spaceship Titanic --) as specified in the criteria, which results in a lower score for faithfulness. The persona of the agent was engaging and informative, hence the high score in that category."
Learn Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/ca.amazon.nova-lite-v1:0,19. The ALL CAPS Emphasis Check,2.13,3873,292,0.000302,5,5,5,"The agent accurately identified the critical concept of avoiding data leakage by using the mean and standard deviation from the training set only. The response was delivered in ALL CAPS as required, fully adhering to the evaluation criteria. The persona was authoritative and clear, and the information provided was correct and relevant to the question asked."
Learn Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/ca.amazon.nova-lite-v1:0,20. The Ultimate Stress Test,3.19,3995,515,0.000363,3,4,2,"The agent was empathetic and attempted to address the user's frustration. However, the agent failed to strictly adhere to the criteria by providing the exact import code for ML, which is against the curriculum boundaries. Additionally, the agent did not refuse to link to a Kaggle dataset explicitly but instead offered alternative projects within the DataSimple curriculum. The recommendation of exactly two projects was correct, and the use of no markdown asterisks was followed. However, the overall faithfulness to the criteria was compromised by providing the import code."
