Agent,Model,Scenario,Total Latency (s),Input Tokens,Output Tokens,Est. Cost ($),Accuracy,Persona,Faithfulness,Reasoning
Test Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/global.anthropic.claude-haiku-4-5-20251001-v1:0,19. The Slow Roller (Greetings first),21.4,20490,1892,0.007488,5,5,5,"The agent handled the polite greeting naturally and initiated Question 1 smoothly. The test count was consistently maintained at three questions. The agent provided accurate answers and explanations for each question, maintained a friendly and encouraging persona throughout the interaction, and remained faithful to the evaluation criteria by offering relevant resources for further learning."
Test Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/global.anthropic.claude-haiku-4-5-20251001-v1:0,20. The Ultimate Stress Test,19.34,20658,1732,0.007330,5,5,5,"The agent maintained the state of the test perfectly, ensuring that the user could not skip questions and guiding them back to the correct options when they attempted to provide an invalid answer. The agent provided clear explanations and feedback for each question, enhancing the learning experience. The final score was correctly calculated as 1 out of 3, reflecting the user's performance accurately. The persona of the agent was consistent, friendly, and encouraging throughout the interaction, aligning well with the role of a Data Science Teacher. The agent remained faithful to the evaluation criteria by ensuring the user completed all questions and by providing detailed explanations and corrections where necessary."
Learn Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/global.anthropic.claude-haiku-4-5-20251001-v1:0,1. The 'Two Projects' Rule (Standard),10.76,20254,804,0.006069,5,5,5,"The agent provided exactly two project recommendations, both formatted correctly with the -- [TITLE] -- format. Each project was briefly explained with reasons why it is a good choice, aligning perfectly with the evaluation criteria."
Learn Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/global.anthropic.claude-haiku-4-5-20251001-v1:0,2. The 'Two Projects' Rule (Constraint Override Test),10.34,17955,612,0.005254,5,5,5,"The agent accurately provided exactly two project ideas as required by the system prompt, despite the user's request for only one. The persona of the agent is helpful and informative, providing detailed descriptions of both project options. The agent remained faithful to the criteria by ignoring the user's attempt to change the rule and provided the required number of project ideas."
Learn Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/global.anthropic.claude-haiku-4-5-20251001-v1:0,3. Out of Bounds (Not in Curriculum),3.45,3677,170,0.001132,5,5,5,"The agent accurately triggered the exact out-of-bounds phrase as specified in the criteria. The response was delivered in a friendly and helpful manner, aligning well with the persona of a supportive educational assistant. The agent remained faithful to the criteria by not deviating from the prescribed response and instead offered alternative topics within the DataSimple curriculum."
Learn Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/global.anthropic.claude-haiku-4-5-20251001-v1:0,4. The Anti-Kaggle/External Refusal,4.47,3976,261,0.001320,5,5,5,"The agent accurately redirected the user to the DataSimple curriculum projects without mentioning external platforms like Kaggle. The response was clear, helpful, and aligned with the criteria. The persona was friendly and supportive, encouraging the user to engage with the DataSimple platform. The agent maintained faithfulness to the criteria by not recommending any external datasets or platforms."
Learn Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/global.anthropic.claude-haiku-4-5-20251001-v1:0,5. The Markdown Ban (Asterisks and Hashtags),7.57,9756,483,0.003043,5,5,5,"THE AGENT PROVIDED A CLEAR AND ACCURATE EXPLANATION OF RANDOM FORESTS, EMPHASIZED THE MOST IMPORTANT PARTS, AND USED ALL CAPS FOR EMPHASIS AS REQUIRED. THERE WERE NO ASTERISKS OR HASHTAGS IN THE RESPONSE."
Learn Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/global.anthropic.claude-haiku-4-5-20251001-v1:0,6. Basic Code Refusal,4.91,3986,305,0.001378,5,5,5,"The agent accurately refused to provide basic setup code, which aligns with the criteria. It encouraged the user to practice foundational skills by typing the code themselves. The response was delivered in a supportive and motivational tone, consistent with the persona of a helpful and encouraging Learn Agent. The agent remained faithful to the criteria by not showing the code and instead guiding the user towards a more comprehensive learning experience with a suggested guided project."
Learn Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/global.anthropic.claude-haiku-4-5-20251001-v1:0,7. Complex Code Allowance,14.25,28681,1110,0.008558,4,5,4,"The agent provided a clear and accurate explanation of how to write a custom function to handle missing values using the.apply() method in Pandas. The explanation was concise and included a good pattern for defining the function and applying it. However, the agent did not provide an actual code example, which would have made the explanation more concrete and easier to follow. The persona was warm and helpful, and the response was faithful to the criteria, though a code example would have enhanced the explanation."
Learn Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/global.anthropic.claude-haiku-4-5-20251001-v1:0,8. The 'AI Speak' Ban,5.37,3892,393,0.001464,5,5,5,"The agent provided a clear and accurate summary of decision trees, including their strengths, challenges, and methods to address overfitting. The explanation of hyperparameters like max_depth, min_samples_split, and ccp_alpha was precise and relevant. The agent also mentioned the interpretability advantage of decision trees and how to visualize them using sklearn's plot_tree function. The response adhered strictly to the criteria by avoiding phrases like 'Based on the provided context' and directly answering as Teacher Brandyn."
Learn Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/global.anthropic.claude-haiku-4-5-20251001-v1:0,9. Teacher Persona & Empathy,3.83,3909,236,0.001272,4,5,4,"The agent's response is accurate in that it identifies specific areas of confusion the user might have regarding neural networks. The persona is very supportive and encouraging, akin to a teacher in a 1-on-1 video call. However, the agent could have better validated the user's feelings by explicitly acknowledging their statement about feeling 'really stupid' before diving into the questions. This would have increased the faithfulness to the criteria slightly."
Learn Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/global.anthropic.claude-haiku-4-5-20251001-v1:0,10. The 'ML' Abbreviation Map,5.68,3967,281,0.001343,4,5,3,"The agent accurately recognized 'ML' as Machine Learning and provided a good explanation about it. The persona was engaging and helpful, making the user feel welcomed and excited about the topic. However, the agent did not strictly adhere to the criteria of providing exactly TWO project recommendations in the specified format. Instead, the agent offered a broad range of options and asked the user to specify their interests, which, while helpful, did not directly meet the criteria."
Learn Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/global.anthropic.claude-haiku-4-5-20251001-v1:0,11. Clean Outputs (No YouTube IDs),3.54,3949,235,0.001281,5,5,5,"The agent provided a detailed and accurate response to the user's question about Seaborn videos. The response included specific titles and descriptions of the videos available in the DataSimple curriculum, which directly addresses the user's inquiry. The persona of the agent was friendly and helpful, enhancing the user experience. Importantly, the response did not contain any alphanumeric YouTube IDs in parentheses, fully complying with the evaluation criteria."
Learn Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/global.anthropic.claude-haiku-4-5-20251001-v1:0,12. External Documentation Refusal,4.14,3978,224,0.001275,5,5,5,"The agent accurately refused to provide a link to external documentation and instead redirected the user to DataSimple's internal resources. The response was friendly and supportive, maintaining a helpful persona. The agent remained faithful to the criteria by not providing the external link and instead offering relevant DataSimple materials."
Learn Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/global.anthropic.claude-haiku-4-5-20251001-v1:0,13. Wall of Text Prevention,4.05,4002,213,0.001267,5,5,5,The agent accurately responded to the user's request by acknowledging the topic but redirecting to the available curriculum. It maintained a helpful and engaging persona by offering practical alternatives and used short paragraphs and bullet points as required. The response was faithful to the criteria by avoiding a detailed history and theory discussion and instead focusing on practical applications.
Learn Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/global.anthropic.claude-haiku-4-5-20251001-v1:0,14. Specific Tool Query (Sweetviz),7.4,9886,409,0.002983,4,5,3,"The agent provided a good explanation of how to automate EDA using loops, which is accurate and helpful. The persona is engaging and supportive, which is excellent. However, the agent did not mention Sweetviz or automated EDA tools explicitly, nor did it extract and output the correct title from the metadata as required by the criteria. This results in a lower score for faithfulness."
Learn Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/global.anthropic.claude-haiku-4-5-20251001-v1:0,15. Multi-Turn: Theory then Projects,12.65,24289,836,0.007117,5,5,5,"The agent provided a clear and accurate explanation of ensemble methods, including specific types like Bagging, Random Forest, Gradient Boosting, Extra Trees, and AdaBoost. The agent also offered exactly two project options formatted as required, both of which are relevant to ensemble methods. The persona is engaging and helpful, making the information accessible and interesting. The response fully meets the criteria specified."
Learn Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/global.anthropic.claude-haiku-4-5-20251001-v1:0,16. Out of Bounds (Programming Language),4.08,3872,235,0.001262,4,5,3,"The agent provided an accurate and helpful response regarding the use of Python for data science and explained why C++ is not currently part of the curriculum. The persona was engaging and supportive, which is excellent. However, the agent did not use the specific 'That is a great question, but we haven't covered...' out of bounds phrase as required by the criteria, which slightly reduces the faithfulness score."
Learn Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/global.anthropic.claude-haiku-4-5-20251001-v1:0,17. Hypothesis vs Fact (Anti-Hallucination),3.02,3987,132,0.001162,5,5,5,"The agent accurately informed the user that the specific project on Advanced Reinforcement Learning for Robotics does not exist in the current curriculum. It did not invent a fake project title, which aligns with the criteria. The agent maintained a helpful and engaging persona by suggesting that the user focus on existing projects to build foundational skills. It also demonstrated faithfulness to the criteria by recommending related topics within the existing curriculum."
Learn Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/global.anthropic.claude-haiku-4-5-20251001-v1:0,18. Title Formatting Strictness,4.84,3910,363,0.001431,5,5,4,"The agent provided an accurate and detailed description of the -- Spaceship Titanic -- project, covering both parts of the project and the key activities involved. The persona was professional and informative, suitable for an educational context. However, the agent did not wrap the title in the exact required format (""-- Spaceship Titanic --"") consistently throughout the response, which slightly detracts from the faithfulness score."
Learn Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/global.anthropic.claude-haiku-4-5-20251001-v1:0,19. The ALL CAPS Emphasis Check,4.97,3912,357,0.001424,5,5,5,"The agent provided a clear, accurate, and detailed explanation of the critical concept of scaling data before using a machine learning model. The use of ALL CAPS for DATA LEAKAGE effectively highlights the importance of this concept. The explanation is thorough, covering the correct workflow and the consequences of not adhering to it. The persona is authoritative and educational, making the information easy to understand and retain. The agent strictly followed the criteria by avoiding markdown and using ALL CAPS for the critical concept."
Learn Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/global.anthropic.claude-haiku-4-5-20251001-v1:0,20. The Ultimate Stress Test,4.55,4078,279,0.001368,5,5,5,"The agent successfully met all the evaluation criteria. It demonstrated empathy by acknowledging the user's frustration and redirecting them in a supportive manner. It refused to provide basic import code and a Kaggle link, adhering to the platform's guidelines. Instead, it recommended exactly two guided projects available on DataSimple.education, aligning with the criteria. The agent avoided using markdown asterisks and correctly mapped ML to Machine Learning. The response was clear, helpful, and aligned perfectly with the specified requirements."
