Agent,Model,Scenario,Total Latency (s),Input Tokens,Output Tokens,Est. Cost ($),Accuracy,Persona,Faithfulness,Reasoning
Test Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/global.anthropic.claude-haiku-4-5-20251001-v1:0,14. Full Text Answer,18.13,16261,1531,0.005979,4,5,5,"The agent accurately recognized and graded the user's responses. For the first question, the user initially provided an incorrect answer related to a different question, and the agent correctly identified the mistake and prompted the user again. The user then provided the correct answer 'A', which the agent incorrectly marked as wrong. This minor error slightly reduces the accuracy score. However, the agent maintained a friendly and encouraging persona throughout and remained faithful to the criteria by explaining the correct answers and providing relevant tips and tutorials."
Test Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/global.anthropic.claude-haiku-4-5-20251001-v1:0,15. Number instead of Letter,20.25,16335,1796,0.006329,5,5,5,"The agent accurately asked the user to clarify their answers using the specified letters A, B, C, or D. The responses were clear, informative, and aligned with the evaluation criteria. The persona was engaging and supportive, which is appropriate for an educational context. The agent provided correct explanations and relevant resources for improvement, demonstrating faithfulness to the criteria."
Test Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/global.anthropic.claude-haiku-4-5-20251001-v1:0,16. Aggressive/Frustrated Input,18.29,15923,1435,0.005775,5,5,5,"The agent responded with extreme empathy and warmth, acknowledging the user's frustration and providing encouragement. The agent gently guided the user through the question, offering explanations and support. The responses were accurate, aligned with the persona of a supportive teacher, and faithfully adhered to the criteria of encouraging the user to engage with the material despite their initial reluctance."
Test Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/global.anthropic.claude-haiku-4-5-20251001-v1:0,17. Gibberish Input,16.91,15869,1489,0.005829,5,5,5,The agent correctly handled the unrecognized input by re-prompting the user for a valid answer. It provided clear and concise explanations for the correct answers and maintained an engaging and supportive persona throughout the interaction. The agent remained faithful to the criteria by ensuring the user understood the purpose of each question and provided relevant tips and tutorials for further learning.
Test Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/global.anthropic.claude-haiku-4-5-20251001-v1:0,18. Correcting Themselves,18.96,16178,1644,0.006100,5,5,5,"The agent correctly registered the user's final decision for each question and graded them accordingly. The agent provided clear explanations for the correct answers and highlighted the misconceptions in the user's incorrect answers. The persona was friendly and encouraging, which aligns well with the educational context. The agent remained faithful to the criteria by providing relevant tutorials and lessons for further learning. Overall, the interaction was handled effectively and in line with the evaluation criteria."
Test Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/global.anthropic.claude-haiku-4-5-20251001-v1:0,19. The Slow Roller (Greetings first),27.4,20668,2049,0.007728,5,5,5,"The agent handled the polite greeting naturally and initiated Question 1 smoothly. The agent maintained a consistent test count throughout the interaction. The explanations provided for the correct answers were accurate and clear. The persona of the agent was friendly and encouraging, which aligns well with the educational context. The agent remained faithful to the criteria by providing relevant resources for further learning after the test."
Test Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/global.anthropic.claude-haiku-4-5-20251001-v1:0,20. The Ultimate Stress Test,21.51,20666,1750,0.007354,5,5,5,"The agent maintained the state of the quiz perfectly, even when the user attempted to skip or provide an invalid answer. It consistently prompted the user to answer the questions and provided correct feedback and explanations. The agent also successfully tracked the user's answers and provided the correct final score. The persona was friendly and encouraging, aligning well with the role of a Data Science Teacher. The agent remained faithful to the criteria by ensuring the user completed the quiz and by providing accurate information and feedback throughout the interaction."
Learn Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/us.anthropic.claude-sonnet-4-5-20250929-v1:0,1. The 'Two Projects' Rule (Standard),20.14,28229,631,0.094152,5,5,5,The agent provided exactly two project recommendations using the -- [TITLE] -- format. Each project was briefly explained with reasons why they are good for learning data analysis. The agent's response aligns perfectly with the evaluation criteria.
Learn Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/us.anthropic.claude-sonnet-4-5-20250929-v1:0,2. The 'Two Projects' Rule (Constraint Override Test),22.08,40158,681,0.130689,3,5,2,"The agent's response was accurate in terms of providing two project ideas as per the system prompt, but it failed to adhere to the user's explicit request for exactly one project idea. The persona was engaging and enthusiastic, which is commendable. However, the faithfulness to the criteria was low because the agent did not respect the user's specific request, even though the system prompt commands to always provide two projects."
Learn Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/us.anthropic.claude-sonnet-4-5-20250929-v1:0,3. Out of Bounds (Not in Curriculum),4.88,3685,153,0.013350,5,5,5,"The agent accurately triggered the exact out-of-bounds phrase as specified in the criteria. The persona was maintained by being supportive and encouraging, redirecting the user to relevant content. The agent was faithful to the criteria by acknowledging the limitation of the current curriculum and suggesting alternative advanced Python projects, which aligns with the provided guidelines."
Learn Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/us.anthropic.claude-sonnet-4-5-20250929-v1:0,4. The Anti-Kaggle/External Refusal,13.03,9691,432,0.035553,5,5,5,"The agent accurately addressed the user's question by highlighting the benefits of using DataSimple's built-in datasets over external platforms like Kaggle. It maintained a friendly and supportive persona while strictly adhering to the criteria by not recommending any external resources and instead focusing the user on the DataSimple curriculum. The response was clear, relevant, and effectively redirected the user's interest towards the platform's offerings."
Learn Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/us.anthropic.claude-sonnet-4-5-20250929-v1:0,5. The Markdown Ban (Asterisks and Hashtags),16.06,9762,562,0.037716,5,5,5,"The agent provided an accurate and clear explanation of Random Forests, highlighting the key concepts such as ensemble method, randomness, overfitting protection, and out-of-the-box power. The use of ALL CAPS for emphasis aligns with the specified criteria, and there were no asterisks or hashtags present in the response. The persona was engaging and informative, making the explanation easy to understand."
Learn Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/us.anthropic.claude-sonnet-4-5-20250929-v1:0,6. Basic Code Refusal,21.09,3992,345,0.017151,5,5,5,"The agent accurately refused to provide basic setup code, aligning perfectly with the criteria. It effectively communicated the importance of focusing on advanced logic and problem-solving rather than basic imports. The persona is engaging and motivational, encouraging the user to think about more complex aspects of data science. The recommendation to explore specific types of projects further enhances the user's learning experience, demonstrating high faithfulness to the evaluation criteria."
Learn Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/us.anthropic.claude-sonnet-4-5-20250929-v1:0,7. Complex Code Allowance,17.91,10428,583,0.040029,5,5,5,"The agent provided a clear and accurate explanation of how to write a custom function to handle missing values using the .apply() method in Pandas. The agent broke down the process into two main steps: defining the custom function and applying it using the.apply() method. The agent also provided a specific example of how to handle missing values, which aligns with the criteria. The persona was warm and supportive, making the user feel understood and guided. The agent's response was faithful to the criteria by explaining the code and offering to help with specific code troubleshooting."
Learn Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/us.anthropic.claude-sonnet-4-5-20250929-v1:0,8. The 'AI Speak' Ban,10.64,3898,482,0.018924,5,5,5,"The agent provided a comprehensive and accurate summary of decision trees, covering key concepts such as what decision trees are, the challenge of overfitting, hyperparameter tuning, and visualization techniques. The response was direct and aligned with the persona of Teacher Brandyn, avoiding phrases like 'Based on the provided context'. The agent also adhered strictly to the criteria by not mentioning the context or document directly."
Learn Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/us.anthropic.claude-sonnet-4-5-20250929-v1:0,9. Teacher Persona & Empathy,24.14,17419,888,0.065577,5,5,5,"The agent's response is highly accurate in explaining the basic concepts of neural networks in a simplified manner. The persona is extremely warm and encouraging, effectively validating the user's feelings before providing an explanation. The response is faithful to the criteria as it not only explains the concepts but also offers hands-on projects to help the user understand better. The encouragement and supportive tone align perfectly with the requirement of acting like a supportive teacher."
Learn Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/us.anthropic.claude-sonnet-4-5-20250929-v1:0,10. The 'ML' Abbreviation Map,30.23,53904,1413,0.182907,5,5,5,"The agent accurately recognized 'ML' as Machine Learning and provided a brief explanation about it. It then offered exactly two project recommendations using the specified format. The persona is engaging and supportive, making the user feel welcomed and excited about the content. The response fully adheres to the given criteria."
Learn Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/us.anthropic.claude-sonnet-4-5-20250929-v1:0,11. Clean Outputs (No YouTube IDs),8.29,3952,325,0.016731,5,5,5,"The agent provided a detailed and relevant response to the user's query about Seaborn videos. It accurately described the available video lessons, highlighted their key features, and invited the user to choose a topic of interest. The response was free of any alphanumeric YouTube IDs or raw metadata artifacts, fully complying with the evaluation criteria."
Learn Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/us.anthropic.claude-sonnet-4-5-20250929-v1:0,12. External Documentation Refusal,6.99,3985,253,0.015750,5,5,5,"The agent accurately redirected the user to DataSimple's own resources instead of linking to external documentation, which aligns perfectly with the given criteria. The persona is engaging and encouraging, promoting the hands-on approach that DataSimple emphasizes. The agent remained faithful to the criteria by not providing any external links and instead suggesting specific projects and lessons within the DataSimple curriculum."
Learn Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/us.anthropic.claude-sonnet-4-5-20250929-v1:0,13. Wall of Text Prevention,15.42,11637,564,0.043371,4,5,5,"The agent accurately provided information about the current curriculum offerings at DataSimple, focusing on practical aspects of deep learning model building. The response was clear, concise, and broken into short paragraphs with bullet points, adhering to the specified criteria. The persona was friendly and helpful, encouraging the user to engage with the available resources. The only minor deduction in accuracy is due to the agent not directly addressing the user's request for extreme detail on the history and theory of deep learning and CNNs, but instead redirecting the conversation to the practical aspects covered in the curriculum."
Learn Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/us.anthropic.claude-sonnet-4-5-20250929-v1:0,14. Specific Tool Query (Sweetviz),15.31,17792,541,0.061491,4,5,3,"The agent provided accurate and helpful tips on automating EDA using loops and pandas built-in methods. The persona was engaging and enthusiastic, which is great for user interaction. However, the agent did not mention Sweetviz or automated EDA tools explicitly, which is a requirement per the criteria. Additionally, the title was not extracted and outputted as specified."
Learn Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/us.anthropic.claude-sonnet-4-5-20250929-v1:0,15. Multi-Turn: Theory then Projects,28.85,33324,1086,0.116262,5,5,5,"The agent provided two distinct projects related to ensemble methods, formatted correctly as required by the criteria. The explanation for each project was clear, relevant, and included specific details about the ensemble techniques involved. The persona was engaging and supportive, encouraging the user to practice ensemble methods. The response was faithful to the criteria, providing exactly two projects and formatting them as specified."
Learn Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/us.anthropic.claude-sonnet-4-5-20250929-v1:0,16. Out of Bounds (Programming Language),9.75,9590,316,0.033510,5,5,5,"The agent accurately responded to the user's question by acknowledging that the topic (data science in C++) is not covered in the current curriculum. The agent maintained a positive and helpful persona by redirecting the user to focus on Python, which is the primary language used in the curriculum. The response was faithful to the criteria by including the specific 'That is a great question, but we haven't covered...' out of bounds phrase. Additionally, the agent provided valuable information about Python's advantages in data science and offered to help the user find a Python project, enhancing the user's experience."
Learn Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/us.anthropic.claude-sonnet-4-5-20250929-v1:0,17. Hypothesis vs Fact (Anti-Hallucination),5.33,3994,205,0.015057,5,5,5,"The agent accurately responded that the specific topic of Advanced Reinforcement Learning for Robotics is not covered in the current curriculum. Instead, it recommended focusing on the existing projects related to core data science skills. The response was polite, helpful, and aligned with the evaluation criteria by not inventing a fake project title and by suggesting relevant alternatives."
Learn Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/us.anthropic.claude-sonnet-4-5-20250929-v1:0,18. Title Formatting Strictness,10.73,3913,440,0.018339,4,5,3,"The agent provided a detailed and engaging explanation of the Spaceship Titanic project, showcasing a strong persona and making the content interesting. However, the agent did not wrap the title in the exact format required by the criteria (-- Spaceship Titanic --). Instead, the agent used different formatting and capitalization, which slightly detracts from the faithfulness to the specified criteria."
Learn Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/us.anthropic.claude-sonnet-4-5-20250929-v1:0,19. The ALL CAPS Emphasis Check,11.76,3920,404,0.017820,5,5,5,"The agent provided a clear and accurate explanation of the critical concept of scaling data before using a machine learning model. The emphasis on fitting the scaler only on the training set and transforming both the training and test sets with the same fitted scaler was correctly highlighted. The explanation of DATA LEAKAGE and its implications was thorough and well-articulated. The agent also correctly used ALL CAPS to emphasize critical concepts as per the criteria. The persona was friendly and engaging, making the information easy to understand."
Learn Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/us.anthropic.claude-sonnet-4-5-20250929-v1:0,20. The Ultimate Stress Test,13.8,10198,457,0.037449,5,5,5,"The agent's response is accurate, empathetic, and fully adheres to the evaluation criteria. It refuses to provide basic import code and external dataset links, instead recommending two specific DataSimple projects. The agent maintains a supportive and encouraging tone while clearly directing the user to valuable resources within the curriculum. The use of uppercase for emphasis is appropriate and does not use markdown asterisks. The agent successfully maps ML to Machine Learning and provides a clear, helpful response."
